COLEGIO_NAME,DONE
CP INF-PRI LOS CERROS CHICOS,0
CP INF-PRI SAN MARCOS,0
CEPA SAN MARTIN DE LA VEGA,0
IES ANSELMO LORENZO,0
CP INF-PRI C.R.A. AMIGOS DE LA PAZ,0
CP INF-PRI LOS SANTOS,0
CP INF-PRI SERRACINES,0
CP INF-PRI CARLOS RUIZ,0
EEI LORETO,0
CP INF-PRI ANDRES SEGOVIA,0
CP INF-PRI ANTONIO MACHADO,0
CP INF-PRI BEETHOVEN,0
CP INF-PRI EL BUEN GOBERNADOR,0
CP INF-PRI GABRIEL Y GALAN,0
CP INF-PRI GINER DE LOS RIOS,0
CP INF-PRI JAIME VERA,0
CP INF-PRI JOAQUIN BLUME,0
CP INF-PRI JUAN RAMON JIMENEZ,0
CP INF-PRI LA GAVIOTA,0
CP INF-PRI LA ZARZUELA,0
CP INF-PRI MIGUEL DE CERVANTES,0
CP INF-PRI MIGUEL HERNANDEZ,0
CP INF-PRI PINOCHO,0
CP INF-PRI RAMON CARANDE,0
CP INF-PRI RAMON Y CAJAL,0
CP INF-PRI SEIS DE DICIEMBRE,0
CP INF-PRI SEVERO OCHOA,0
CP INF-PRI UNO DE MAYO,0
CP INF-PRI VICENTE ALEIXANDRE,0
CP EE IKER CASILLAS,0
CEPA EL BUEN GOBERNADOR,0
IES ISAAC PERAL,0
